,Model_name,Ratings,Customers_rated,RAM,Internal_storage,Display_size,Camera,Battery_mAh,Price,Discount,Final_Price
0,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.2,40455,4.0,128,16.55,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000,13999,21,10999
1,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.2,40455,4.0,64,16.55,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000,12999,23,9999
2,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)",4.3,305200,6.0,128,16.26,64MP + 8MP + 5MP | 32MP Front Camera,6000,20999,30,14499
3,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,40455,4.0,64,16.55,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000,12999,23,9999
4,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.2,40455,4.0,128,16.55,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000,13999,21,10999
5,"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",4.3,15971,8.0,128,17.02,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000,31999,18,25999
6,"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",4.3,15971,8.0,128,17.02,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000,31999,18,25999
7,"SAMSUNG Galaxy M31 (Space Black, 128 GB)",4.3,996,8.0,128,16.26,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000,19900,7,18489
8,"SAMSUNG Galaxy F02s (Diamond Blue, 64 GB)",4.2,962,4.0,64,16.55,13MP + 2MP + 2MP | 5MP Front Camera,5000,11499,13,9999
9,"SAMSUNG M31 (Ocean Blue, 128 GB)",4.3,4468,6.0,128,16.26,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000,17499,9,15902
10,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",4.3,15971,8.0,128,17.02,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000,31999,18,25999
11,"SAMSUNG Galaxy M21 (Midnight Blue, 64 GB)",4.3,6921,4.0,64,16.26,48MP + 8MP + 5MP | 20MP Front Camera,6000,15999,13,13850
12,"SAMSUNG Galaxy M31 (Space Black, 128 GB)",4.3,7192,6.0,128,16.26,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000,17499,5,16480
13,"SAMSUNG Galaxy M12 (Black, 64 GB)",4.3,1144,4.0,64,16.51,48MP Rear Camera,6000,0,0,11290
14,"SAMSUNG Galaxy F41 (Fusion Green, 128 GB)",4.3,305200,6.0,128,16.26,64MP + 8MP + 5MP | 32MP Front Camera,6000,20999,30,14499
15,"SAMSUNG Galaxy M11 (Black, 64 GB)",4.3,7137,4.0,64,16.26,13MP + 5MP + 2MP | 8MP Front Camera,5000,10587,5,9962
16,"SAMSUNG Galaxy F02s (Diamond Blue, 32 GB)",4.2,1131,3.0,32,16.55,13MP + 2MP + 2MP | 5MP Front Camera,5000,10499,14,8999
17,"SAMSUNG GALAXY M51 (Celestial Black, 128 GB)",4.4,1157,6.0,128,17.02,64MP Rear Camera,7000,22529,0,22387
18,"SAMSUNG Galaxy A31 (Prism Crush Blue, 128 GB)",4.3,9790,6.0,128,16.26,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000,23999,29,16999
19,"SAMSUNG Galaxy A21s (Blue, 64 GB)",4.2,20028,4.0,64,16.51,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000,17999,27,12999
20,"SAMSUNG Galaxy M02 (Blue, 32 GB)",4.0,661,3.0,32,16.64,13MP + 2MP | 5MP Front Camera,5000,0,0,8258
21,"SAMSUNG Galaxy M21 (Raven Black, 64 GB)",4.3,6921,4.0,64,16.26,48MP + 8MP + 5MP | 20MP Front Camera,6000,15999,15,13570
22,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4.2,40455,4.0,128,16.55,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000,13999,21,10999
23,"SAMSUNG Galaxy M02 (Blue, 32 GB)",4.1,470,2.0,32,16.64,13MP + 2MP | 5MP Front Camera,5000,0,0,7899
24,"SAMSUNG Galaxy M42 5G (Prism Dot Black, 128 GB)",4.4,242,6.0,128,16.76,48MP Rear Camera,5000,23200,0,22999
25,"SAMSUNG Galaxy M51 (Electric Blue, 128 GB)",4.4,496,8.0,128,17.02,64MP Rear Camera,7000,0,0,25602
26,"SAMSUNG Galaxy M12 (Blue, 64 GB)",4.3,1144,4.0,64,16.51,48MP Rear Camera,6000,11250,0,11218
27,"SAMSUNG Galaxy A31 (Prism Crush White, 128 GB)",4.3,9790,6.0,128,16.26,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000,23999,29,16999
28,"SAMSUNG M31s (Mirage Blue, 128 GB)",4.2,196,8.0,128,16.51,64MP + 12MP | 32MP Front Camera,6000,22789,6,21268
29,"SAMSUNG Galaxy M11 (Violet, 64 GB)",4.3,7137,4.0,64,16.26,13MP + 5MP + 2MP | 8MP Front Camera,5000,10685,7,9868
30,"SAMSUNG Galaxy M31 (Ocean Blue, 128 GB)",4.3,996,8.0,128,16.26,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000,19502,2,18980
31,"SAMSUNG M31 Prime (Space Black, 128 GB)",4.4,650,6.0,128,16.26,64MP Rear Camera,6000,0,0,16990
32,"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)",4.3,7137,4.0,64,16.26,13MP + 5MP + 2MP | 8MP Front Camera,5000,13202,24,9909
33,"SAMSUNG M31 Prime (IceBerg Blue, 128 GB)",4.4,650,6.0,128,16.26,64MP Rear Camera,6000,18490,8,16990
